county,date,vaccines_started,vaccines_completed,vaccines_first_additional_dose
Adams,2020-12-14,0,0,0
Adams,2020-12-15,0,0,0
Adams,2020-12-16,0,0,0
Adams,2020-12-17,0,0,0
Adams,2020-12-18,9,0,0
Adams,2020-12-19,1,0,0
Adams,2020-12-20,0,0,0
Adams,2020-12-21,1,0,0
Adams,2020-12-22,10,0,0
Adams,2020-12-23,20,0,0
Adams,2020-12-24,5,0,0
Adams,2020-12-25,0,0,0
Adams,2020-12-26,4,0,0
Adams,2020-12-27,4,0,0
Adams,2020-12-28,71,0,0
Adams,2020-12-29,67,0,0
Adams,2020-12-30,48,0,0
Adams,2020-12-31,16,0,0
Adams,2021-01-01,2,0,0
Adams,2021-01-02,2,0,0
Adams,2021-01-03,1,0,0
Adams,2021-01-04,18,0,0
Adams,2021-01-05,26,0,0
Adams,2021-01-06,78,0,0
Adams,2021-01-07,48,0,0
Adams,2021-01-08,26,10,0
Adams,2021-01-09,0,1,0
Adams,2021-01-10,0,0,0
Adams,2021-01-11,22,1,0
Adams,2021-01-12,43,2,0
Adams,2021-01-13,22,2,0
Adams,2021-01-14,37,0,0
Adams,2021-01-15,33,0,0
Adams,2021-01-16,0,1,0
Adams,2021-01-17,1,3,0
Adams,2021-01-18,8,43,0
Adams,2021-01-19,139,35,0
Adams,2021-01-20,44,7,0
Adams,2021-01-21,42,30,0
Adams,2021-01-22,157,3,0
Adams,2021-01-23,6,3,0
Adams,2021-01-24,0,0,0
Adams,2021-01-25,97,10,0
Adams,2021-01-26,42,14,0
Adams,2021-01-27,51,107,0
Adams,2021-01-28,43,2,0
Adams,2021-01-29,197,16,0
Adams,2021-01-30,2,0,0
Adams,2021-01-31,3,0,0
Adams,2021-02-01,76,7,0
Adams,2021-02-02,44,42,0
Adams,2021-02-03,24,21,0
Adams,2021-02-04,34,28,0
Adams,2021-02-05,142,19,0
Adams,2021-02-06,7,1,0
Adams,2021-02-07,1,1,0
Adams,2021-02-08,112,58,0
Adams,2021-02-09,42,20,0
Adams,2021-02-10,52,12,0
Adams,2021-02-11,39,16,0
Adams,2021-02-12,259,148,0
Adams,2021-02-13,4,5,0
Adams,2021-02-14,1,0,0
Adams,2021-02-15,24,2,0
Adams,2021-02-16,7,3,0
Adams,2021-02-17,26,57,0
Adams,2021-02-18,11,39,0
Adams,2021-02-19,8,197,0
Adams,2021-02-20,3,3,0
Adams,2021-02-21,2,2,0
Adams,2021-02-22,62,30,0
Adams,2021-02-23,115,146,0
Adams,2021-02-24,102,57,0
Adams,2021-02-25,37,30,0
Adams,2021-02-26,135,164,0
Adams,2021-02-27,5,2,0
Adams,2021-02-28,1,1,0
Adams,2021-03-01,38,82,0
Adams,2021-03-02,22,27,0
Adams,2021-03-03,34,34,0
Adams,2021-03-04,56,50,0
Adams,2021-03-05,181,40,0
Adams,2021-03-06,38,42,0
Adams,2021-03-07,9,8,0
Adams,2021-03-08,249,288,0
Adams,2021-03-09,29,42,0
Adams,2021-03-10,69,49,0
Adams,2021-03-11,43,66,0
Adams,2021-03-12,53,83,0
Adams,2021-03-13,20,9,0
Adams,2021-03-14,5,1,0
Adams,2021-03-15,48,64,0
Adams,2021-03-16,48,8,0
Adams,2021-03-17,187,171,0
Adams,2021-03-18,93,32,0
Adams,2021-03-19,55,300,0
Adams,2021-03-20,9,3,0
Adams,2021-03-21,3,0,0
Adams,2021-03-22,64,32,0
Adams,2021-03-23,77,150,0
Adams,2021-03-24,84,26,0
Adams,2021-03-25,71,42,0
Adams,2021-03-26,209,179,0
Adams,2021-03-27,4,2,0
Adams,2021-03-28,1,0,0
Adams,2021-03-29,51,70,0
Adams,2021-03-30,91,32,0
Adams,2021-03-31,94,52,0
Adams,2021-04-01,119,41,0
Adams,2021-04-02,54,59,0
Adams,2021-04-03,26,20,0
Adams,2021-04-04,6,6,0
Adams,2021-04-05,74,61,0
Adams,2021-04-06,77,54,0
Adams,2021-04-07,60,105,0
Adams,2021-04-08,142,56,0
Adams,2021-04-09,93,111,0
Adams,2021-04-10,57,60,0
Adams,2021-04-11,10,7,0
Adams,2021-04-12,46,24,0
Adams,2021-04-13,57,50,0
Adams,2021-04-14,47,76,0
Adams,2021-04-15,51,102,0
Adams,2021-04-16,55,54,0
Adams,2021-04-17,34,6,0
Adams,2021-04-18,1,2,0
Adams,2021-04-19,23,27,0
Adams,2021-04-20,64,64,0
Adams,2021-04-21,63,80,0
Adams,2021-04-22,29,70,0
Adams,2021-04-23,59,216,0
Adams,2021-04-24,21,6,0
Adams,2021-04-25,9,2,0
Adams,2021-04-26,12,56,0
Adams,2021-04-27,32,53,0
Adams,2021-04-28,47,53,0
Adams,2021-04-29,21,132,0
Adams,2021-04-30,20,34,0
Adams,2021-05-01,31,32,0
Adams,2021-05-02,5,4,0
Adams,2021-05-03,9,63,0
Adams,2021-05-04,37,91,0
Adams,2021-05-05,22,32,0
Adams,2021-05-06,30,89,0
Adams,2021-05-07,37,23,0
Adams,2021-05-08,18,14,0
Adams,2021-05-09,2,3,0
Adams,2021-05-10,10,51,0
Adams,2021-05-11,23,85,0
Adams,2021-05-12,32,21,0
Adams,2021-05-13,38,65,0
Adams,2021-05-14,54,22,0
Adams,2021-05-15,34,35,0
Adams,2021-05-16,6,0,0
Adams,2021-05-17,29,33,0
Adams,2021-05-18,54,83,0
Adams,2021-05-19,37,26,0
Adams,2021-05-20,24,48,0
Adams,2021-05-21,31,25,0
Adams,2021-05-22,10,5,0
Adams,2021-05-23,2,7,0
Adams,2021-05-24,9,18,0
Adams,2021-05-25,39,40,0
Adams,2021-05-26,51,18,0
Adams,2021-05-27,20,33,0
Adams,2021-05-28,34,15,0
Adams,2021-05-29,7,10,0
Adams,2021-05-30,4,3,0
Adams,2021-05-31,2,8,0
Adams,2021-06-01,23,40,0
Adams,2021-06-02,19,17,0
Adams,2021-06-03,22,49,0
Adams,2021-06-04,25,32,0
Adams,2021-06-05,10,10,0
Adams,2021-06-06,4,6,0
Adams,2021-06-07,10,16,0
Adams,2021-06-08,20,52,0
Adams,2021-06-09,11,22,0
Adams,2021-06-10,17,37,0
Adams,2021-06-11,25,38,0
Adams,2021-06-12,8,21,0
Adams,2021-06-13,3,10,0
Adams,2021-06-14,5,25,0
Adams,2021-06-15,11,39,0
Adams,2021-06-16,14,35,0
Adams,2021-06-17,5,24,0
Adams,2021-06-18,18,25,0
Adams,2021-06-19,7,6,0
Adams,2021-06-20,4,1,0
Adams,2021-06-21,3,6,0
Adams,2021-06-22,16,38,0
Adams,2021-06-23,6,13,0
Adams,2021-06-24,10,21,0
Adams,2021-06-25,7,16,0
Adams,2021-06-26,2,7,0
Adams,2021-06-27,1,5,0
Adams,2021-06-28,6,3,0
Adams,2021-06-29,6,16,0
Adams,2021-06-30,3,14,0
Adams,2021-07-01,6,20,0
Adams,2021-07-02,10,20,0
Adams,2021-07-03,0,2,0
Adams,2021-07-04,1,0,0
Adams,2021-07-05,3,1,0
Adams,2021-07-06,10,10,0
Adams,2021-07-07,6,7,0
Adams,2021-07-08,10,9,0
Adams,2021-07-09,10,8,0
Adams,2021-07-10,2,1,0
Adams,2021-07-11,2,1,0
Adams,2021-07-12,2,3,0
Adams,2021-07-13,11,13,0
Adams,2021-07-14,4,9,0
Adams,2021-07-15,13,12,0
Adams,2021-07-16,5,14,0
Adams,2021-07-17,6,2,0
Adams,2021-07-18,4,4,0
Adams,2021-07-19,15,9,0
Adams,2021-07-20,13,5,0
Adams,2021-07-21,14,2,0
Adams,2021-07-22,11,9,0
Adams,2021-07-23,7,4,0
Adams,2021-07-24,8,3,0
Adams,2021-07-25,2,1,0
Adams,2021-07-26,16,6,0
Adams,2021-07-27,33,16,0
Adams,2021-07-28,25,5,0
Adams,2021-07-29,31,10,0
Adams,2021-07-30,34,15,0
Adams,2021-07-31,24,2,0
Adams,2021-08-01,8,0,0
Adams,2021-08-02,31,8,0
Adams,2021-08-03,41,11,0
Adams,2021-08-04,41,5,0
Adams,2021-08-05,33,11,0
Adams,2021-08-06,69,26,0
Adams,2021-08-07,10,4,0
Adams,2021-08-08,9,3,0
Adams,2021-08-09,37,19,0
Adams,2021-08-10,90,11,0
Adams,2021-08-11,33,16,0
Adams,2021-08-12,25,13,0
Adams,2021-08-13,29,9,0
Adams,2021-08-14,9,9,0
Adams,2021-08-15,4,3,0
Adams,2021-08-16,27,7,0
Adams,2021-08-17,31,20,2
Adams,2021-08-18,20,19,0
Adams,2021-08-19,22,19,0
Adams,2021-08-20,40,36,7
Adams,2021-08-21,8,17,0
Adams,2021-08-22,9,6,0
Adams,2021-08-23,33,21,3
Adams,2021-08-24,23,35,0
Adams,2021-08-25,33,31,0
Adams,2021-08-26,26,31,2
Adams,2021-08-27,45,47,0
Adams,2021-08-28,15,12,2
Adams,2021-08-29,12,6,0
Adams,2021-08-30,22,22,1
Adams,2021-08-31,26,54,0
Adams,2021-09-01,25,30,0
Adams,2021-09-02,30,23,2
Adams,2021-09-03,23,43,1
Adams,2021-09-04,3,11,0
Adams,2021-09-05,6,5,1
Adams,2021-09-06,3,4,0
Adams,2021-09-07,21,28,0
Adams,2021-09-08,10,15,2
Adams,2021-09-09,18,20,0
Adams,2021-09-10,32,41,0
Adams,2021-09-11,12,12,1
Adams,2021-09-12,3,5,0
Adams,2021-09-13,21,19,2
Adams,2021-09-14,22,27,0
Adams,2021-09-15,25,31,3
Adams,2021-09-16,17,23,0
Adams,2021-09-17,25,44,0
Adams,2021-09-18,10,9,1
Adams,2021-09-19,4,5,0
Adams,2021-09-20,28,18,5
Adams,2021-09-21,32,23,0
Adams,2021-09-22,22,23,1
Adams,2021-09-23,28,22,1
Adams,2021-09-24,28,18,3
Adams,2021-09-25,10,7,0
Adams,2021-09-26,4,1,3
Adams,2021-09-27,11,15,24
Adams,2021-09-28,16,19,24
Adams,2021-09-29,14,9,21
Adams,2021-09-30,21,16,23
Adams,2021-10-01,30,17,21
Adams,2021-10-02,9,11,2
Adams,2021-10-03,1,3,0
Adams,2021-10-04,38,9,14
Adams,2021-10-05,11,18,26
Adams,2021-10-06,13,6,23
Adams,2021-10-07,20,21,7
Adams,2021-10-08,29,27,21
Adams,2021-10-09,7,5,3
Adams,2021-10-10,0,5,1
Adams,2021-10-11,3,7,4
Adams,2021-10-12,15,24,19
Adams,2021-10-13,13,27,12
Adams,2021-10-14,18,22,10
Adams,2021-10-15,28,21,13
Adams,2021-10-16,4,7,2
Adams,2021-10-17,3,4,4
Adams,2021-10-18,19,8,9
Adams,2021-10-19,22,25,39
Adams,2021-10-20,17,13,13
Adams,2021-10-21,20,10,16
Adams,2021-10-22,21,28,23
Adams,2021-10-23,7,3,16
Adams,2021-10-24,0,2,11
Adams,2021-10-25,13,18,35
Adams,2021-10-26,15,23,59
Adams,2021-10-27,32,13,42
Adams,2021-10-28,12,13,39
Adams,2021-10-29,25,22,43
Adams,2021-10-30,5,11,20
Adams,2021-10-31,5,4,7
Adams,2021-11-01,19,20,271
Adams,2021-11-02,18,14,38
Adams,2021-11-03,11,15,117
Adams,2021-11-04,7,9,40
Adams,2021-11-05,14,21,44
Adams,2021-11-06,3,3,5
Adams,2021-11-07,2,7,0
Adams,2021-11-08,9,11,16
Adams,2021-11-09,9,18,21
Adams,2021-11-10,31,23,91
Adams,2021-11-11,5,5,23
Adams,2021-11-12,30,38,50
Adams,2021-11-13,2,1,14
Adams,2021-11-14,2,3,4
Adams,2021-11-15,15,12,51
Adams,2021-11-16,11,10,36
Adams,2021-11-17,15,15,39
Adams,2021-11-18,36,12,194
Adams,2021-11-19,32,29,60
Adams,2021-11-20,4,7,12
Adams,2021-11-21,1,4,13
Adams,2021-11-22,26,8,41
Adams,2021-11-23,8,22,58
Adams,2021-11-24,26,9,22
Adams,2021-11-25,0,0,0
Adams,2021-11-26,9,4,16
Adams,2021-11-27,3,8,5
Adams,2021-11-28,1,2,8
Adams,2021-11-29,37,5,47
Adams,2021-11-30,37,19,77
Adams,2021-12-01,32,26,52
Adams,2021-12-02,26,8,52
Adams,2021-12-03,40,37,81
Adams,2021-12-04,6,5,16
Adams,2021-12-05,1,3,6
Adams,2021-12-06,11,6,45
Adams,2021-12-07,11,7,86
Adams,2021-12-08,5,9,39
Adams,2021-12-09,11,16,39
Adams,2021-12-10,19,23,57
Adams,2021-12-11,0,3,6
Adams,2021-12-12,1,3,4
Adams,2021-12-13,4,23,37
Adams,2021-12-14,17,10,69
Adams,2021-12-15,7,13,33
Adams,2021-12-16,6,9,35
Adams,2021-12-17,9,7,42
Adams,2021-12-18,3,4,18
Adams,2021-12-19,7,0,7
Adams,2021-12-20,20,23,44
Adams,2021-12-21,6,20,71
Adams,2021-12-22,8,5,23
Adams,2021-12-23,6,3,17
Adams,2021-12-24,5,4,8
Adams,2021-12-25,0,0,0
Adams,2021-12-26,2,0,2
Adams,2021-12-27,8,21,32
Adams,2021-12-28,15,19,54
Adams,2021-12-29,15,19,55
Adams,2021-12-30,5,10,34
Adams,2021-12-31,5,4,11
Adams,2022-01-01,2,0,3
Adams,2022-01-02,2,1,0
Adams,2022-01-03,6,13,35
Adams,2022-01-04,15,5,52
Adams,2022-01-05,8,11,37
Adams,2022-01-06,3,5,17
Adams,2022-01-07,0,0,0
Allen,2020-12-14,1,0,0
Allen,2020-12-15,2,0,0
Allen,2020-12-16,1,0,0
Allen,2020-12-17,3,0,0
Allen,2020-12-18,5,0,0
Allen,2020-12-19,3,0,0
Allen,2020-12-20,0,0,0
Allen,2020-12-21,6,0,0
Allen,2020-12-22,98,0,0
Allen,2020-12-23,173,0,0
Allen,2020-12-24,73,0,0
Allen,2020-12-25,1,0,0
Allen,2020-12-26,15,0,0
Allen,2020-12-27,0,0,0
Allen,2020-12-28,398,0,0
Allen,2020-12-29,232,0,0
Allen,2020-12-30,387,0,0
Allen,2020-12-31,84,0,0
Allen,2021-01-01,9,1,0
Allen,2021-01-02,8,0,0
Allen,2021-01-03,3,0,0
Allen,2021-01-04,438,1,0
Allen,2021-01-05,227,3,0
Allen,2021-01-06,169,3,0
Allen,2021-01-07,400,5,0
Allen,2021-01-08,268,6,0
Allen,2021-01-09,228,3,0
Allen,2021-01-10,23,0,0
Allen,2021-01-11,251,13,0
Allen,2021-01-12,323,44,0
Allen,2021-01-13,120,11,0
Allen,2021-01-14,256,12,0
Allen,2021-01-15,206,4,0
Allen,2021-01-16,9,9,0
Allen,2021-01-17,3,0,0
Allen,2021-01-18,75,95,0
Allen,2021-01-19,338,97,0
Allen,2021-01-20,661,188,0
Allen,2021-01-21,371,37,0
Allen,2021-01-22,282,40,0
Allen,2021-01-23,170,4,0
Allen,2021-01-24,33,1,0
Allen,2021-01-25,167,513,0
Allen,2021-01-26,182,281,0
Allen,2021-01-27,159,302,0
Allen,2021-01-28,575,136,0
Allen,2021-01-29,255,176,0
Allen,2021-01-30,43,4,0
Allen,2021-01-31,9,20,0
Allen,2021-02-01,303,305,0
Allen,2021-02-02,507,237,0
Allen,2021-02-03,231,90,0
Allen,2021-02-04,484,327,0
Allen,2021-02-05,698,162,0
Allen,2021-02-06,139,242,0
Allen,2021-02-07,35,2,0
Allen,2021-02-08,379,154,0
Allen,2021-02-09,453,263,0
Allen,2021-02-10,231,395,0
Allen,2021-02-11,550,178,0
Allen,2021-02-12,377,197,0
Allen,2021-02-13,110,7,0
Allen,2021-02-14,6,1,0
Allen,2021-02-15,53,200,0
Allen,2021-02-16,101,109,0
Allen,2021-02-17,144,323,0
Allen,2021-02-18,79,250,0
Allen,2021-02-19,576,259,0
Allen,2021-02-20,46,171,0
Allen,2021-02-21,27,39,0
Allen,2021-02-22,185,138,0
Allen,2021-02-23,383,609,0
Allen,2021-02-24,315,204,0
Allen,2021-02-25,485,402,0
Allen,2021-02-26,660,330,0
Allen,2021-02-27,174,113,0
Allen,2021-02-28,64,96,0
Allen,2021-03-01,159,215,0
Allen,2021-03-02,505,289,0
Allen,2021-03-03,281,243,0
Allen,2021-03-04,634,507,0
Allen,2021-03-05,358,730,0
Allen,2021-03-06,224,503,0
Allen,2021-03-07,48,39,0
Allen,2021-03-08,254,370,0
Allen,2021-03-09,407,433,0
Allen,2021-03-10,624,600,0
Allen,2021-03-11,832,518,0
Allen,2021-03-12,597,813,0
Allen,2021-03-13,416,214,0
Allen,2021-03-14,71,11,0
Allen,2021-03-15,241,116,0
Allen,2021-03-16,324,172,0
Allen,2021-03-17,336,205,0
Allen,2021-03-18,591,173,0
Allen,2021-03-19,613,968,0
Allen,2021-03-20,142,135,0
Allen,2021-03-21,48,29,0
